dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-based bz2 compressed size (B),standard bz2 compressed size (B),standard bz2 compression ratio,decomposed bz2 compression ratio,decomposed row-ordered bz2 compression ratio,reordered bz2 compression ratio,reordered row-based bz2 compression ratio,WE,entropy word,entropy list,max rep,unique ratio
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,), (0,3,), (2,), )",-1,11430185,11383669,11446071,11390694,13621806,1.7630046999641604,2.1010428090184017,2.1096280996926384,2.098126772060037,2.1083270255526134,5.201966849448555,15.041785662586301,"(6.125370905632568,4.3502115966121835,5.982073298937283,)","(24065,48130,24065,)","(4.263946979151798e-05,2.131973489575899e-05,4.263946979151798e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,), (0,2,3,), )",-1,11845170,11404320,11923440,11401585,13621806,1.7630046999641604,2.027434642136837,2.1058079745219356,2.014125789201774,2.1063131134837834,5.33175880707261,15.041785662586301,"(6.125370905632568,5.067221440885957,)","(24065,72195,)","(4.263946979151798e-05,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (3,), (1,2,0,), )",-1,11967350,11414238,11969431,11418193,13621806,1.7630046999641604,2.006735659941424,2.1039782068675983,2.0063867697637425,2.1032494371044526,4.916219781539689,15.041785662586301,"(1.3269079038166607,6.112657074114032,)","(24065,72195,)","(2.1652855753505223e-06,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,0,2,), (3,), )",-1,11967316,11396203,11972481,11401585,13621806,1.7630046999641604,2.006741361220845,2.107307846306353,2.005875640980345,2.1063131134837834,4.91621978153969,15.041785662586301,"(6.112657074114033,1.3269079038166607,)","(72195,24065,)","(1.4213156597172659e-05,2.1652855753505223e-06,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,0,), (3,2,), )",-1,11203385,11380506,11217003,11390694,13621806,1.7630046999641604,2.1435760709821183,2.1102144315903,2.140973662929394,2.1083270255526134,5.196561403134006,15.041785662586301,"(6.1252633873909055,4.267859418877107,)","(48130,48130,)","(2.131973489575899e-05,2.131973489575899e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,1,3,), (2,), )",-1,11729442,11382482,11765031,11390492,13621806,1.7630046999641604,2.047438232782088,2.109848098156448,2.0412447702007754,2.1083644148119327,5.316200477978155,15.041785662586301,"(5.0942428709917795,5.982073298937283,)","(72195,24065,)","(1.4213156597172659e-05,4.263946979151798e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (2,1,0,), (3,), )",-1,11966491,11399983,11971876,11405226,13621806,1.7630046999641604,2.0068797110197134,2.106609106346913,2.0059770081146846,2.105640694888466,4.91621978153969,15.041785662586301,"(6.112657074114033,1.3269079038166607,)","(72195,24065,)","(1.4213156597172659e-05,2.1652855753505223e-06,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,), (2,), (1,3,), )",-1,11430122,11383809,11462335,11420123,13621806,1.7630046999641604,2.101054389445712,2.1096021551310287,2.095149722984017,2.102893988094524,5.201897326386634,15.041785662586301,"(6.125027367932911,5.982073298937283,4.35024431933817,)","(24065,24065,48130,)","(4.263946979151798e-05,4.263946979151798e-05,2.131973489575899e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,), (0,3,2,), )",-1,11845173,11391075,11927319,11390694,13621806,1.7630046999641604,2.027434128653081,2.108256507836179,2.013470755666047,2.1083270255526134,5.33175880707261,15.041785662586301,"(6.125370905632568,5.067221440885958,)","(24065,72195,)","(4.263946979151798e-05,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (3,0,1,), (2,), )",-1,11730476,11379032,11766142,11397946,13621806,1.7630046999641604,2.0472577583381955,2.1104877813859737,2.041052028778847,2.1069855919654294,5.316200477978155,15.041785662586301,"(5.094242870991779,5.982073298937283,)","(72195,24065,)","(1.4213156597172659e-05,4.263946979151798e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,), (1,2,), (3,), )",-1,11833080,11400744,11850703,11401202,13621806,1.7630046999641604,2.0295060964685443,2.106468490126609,2.0264880488524604,2.1063838707532767,4.910140498203099,15.041785662586301,"(6.125027367932911,6.094313360531412,1.3269079038166607,)","(24065,48130,24065,)","(4.263946979151798e-05,2.131973489575899e-05,2.1652855753505223e-06,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (2,), (1,0,3,), )",-1,11729705,11382683,11786437,11405226,13621806,1.7630046999641604,2.0473923257234516,2.1098108416091357,2.037537552697223,2.105640694888466,5.316200477978155,15.041785662586301,"(5.982073298937283,5.0942428709917795,)","(24065,72195,)","(4.263946979151798e-05,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,), (2,3,0,), )",-1,11843180,11389283,11918554,11410252,13621806,1.7630046999641604,2.0277753103473897,2.108588222805597,2.014951478174282,2.1047132000239785,5.33175880707261,15.041785662586301,"(6.125370905632568,5.067221440885957,)","(24065,72195,)","(4.263946979151798e-05,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (2,1,), (3,0,), )",-1,11884074,11402522,11894670,11411117,13621806,1.7630046999641604,2.0207975817047252,2.1061400276184514,2.0189974164899067,2.10455365587786,5.222262478571798,15.041785662586301,"(6.094313360531413,4.3502115966121835,)","(48130,48130,)","(2.131973489575899e-05,2.131973489575899e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (2,3,0,1,), )",-1,13626450,11389779,13626450,11389779,13621806,1.7630046999641604,1.76240385426872,2.1084963983936826,1.76240385426872,2.1084963983936826,5.410833366789651,15.041785662586301,"(5.410833366789651,)","(96260,)","(1.0659867447879495e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,), (1,2,3,), )",-1,11847370,11404723,11922307,11401202,13621806,1.7630046999641604,2.027058157211263,2.10573356319132,2.0143171954890944,2.1063838707532767,5.331747358052219,15.041785662586301,"(6.125027367932911,5.067320688091988,)","(24065,72195,)","(4.263946979151798e-05,1.4213156597172659e-05,)"
