dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-based bz2 compressed size (B),standard bz2 compressed size (B),standard bz2 compression ratio,decomposed bz2 compression ratio,decomposed row-ordered bz2 compression ratio,reordered bz2 compression ratio,reordered row-based bz2 compression ratio,WE,entropy word,entropy list,max rep
acs_wht_f32,224999996,4,56249999,"( (1,), (0,3,), (2,), )",-1,140295867,138814706,140315849,138821757,155202085,1.44972276628887,1.6037535588985,1.62086570280241,1.60352517269806,1.62078337619657,6.05719981653611,20.1330116816552,"(7.412636992582531,5.136499047872188,6.543164177817545,)","(412752,825504,412752,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,2,3,), )",-1,140748531,138859295,140798434,138846753,155202085,1.44972276628887,1.59859569688866,1.62034522787978,1.59802910876125,1.6204915933468,6.31432908472876,20.1330116816552,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (3,), (1,2,0,), )",-1,146490266,138875419,146495023,138863570,155202085,1.44972276628887,1.53593820356637,1.62015709921999,1.5358883284383,1.62029534456013,5.78782335247649,20.1330116816552,"(1.2209671386643668,7.310108757080525,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,2,), (3,), )",-1,146489486,138844678,146491545,138846753,155202085,1.44972276628887,1.53594638184477,1.6205158112002,1.53592479347528,1.6204915933468,5.78782335247649,20.1330116816552,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,), (3,2,), )",-1,136621289,138827305,136625317,138821757,155202085,1.44972276628887,1.64688825326483,1.62071860431203,1.64683969955583,1.62078337619657,6.05632765229652,20.1330116816552,"(7.4126226209859425,4.7000326836071045,)","(825504,825504,)"
acs_wht_f32,224999996,4,56249999,"( (0,1,3,), (2,), )",-1,142012589,138815009,142046698,138822285,155202085,1.44972276628887,1.5843665521794,1.62086216483983,1.58398610575235,1.6207772116703,6.20732932291605,20.1330116816552,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (2,1,0,), (3,), )",-1,146490129,138835970,146492859,138837034,155202085,1.44972276628887,1.53593964000127,1.62061745237924,1.53591101665918,1.62060503251604,5.78782335247649,20.1330116816552,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (2,), (1,3,), )",-1,140298998,138814541,140350440,138876107,155202085,1.44972276628887,1.60371776853317,1.62086762942219,1.60312996524984,1.62014907287112,6.05723204176302,20.1330116816552,"(7.412603678883616,6.543164177817545,5.136580155175457,)","(412752,412752,825504,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,3,2,), )",-1,140225070,138828470,140274101,138821757,155202085,1.44972276628887,1.60456326390138,1.62070500380794,1.60400240953959,1.62078337619657,6.31432908472876,20.1330116816552,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (3,0,1,), (2,), )",-1,142020853,138819969,142055754,138834424,155202085,1.44972276628887,1.58427436004768,1.62080425187244,1.58388512724377,1.6206354988731,6.20732932291605,20.1330116816552,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)"
