dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-based bz2 compressed size (B),standard bz2 compressed size (B),standard bz2 compression ratio,decomposed bz2 compression ratio,decomposed row-ordered bz2 compression ratio,reordered bz2 compression ratio,reordered row-based bz2 compression ratio,WE,entropy word,entropy list,max rep,unique ratio
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (0,3,), (2,), )",-1,56155698,55661518,56182484,55665923,63719051,1.7094535196388911,1.939691961446192,1.9569131406010163,1.938767178752723,1.9567582845972031,5.312469974511832,15.610157432140957,"(5.873596340164368,4.763952951987628,5.848377653907704,)","(2111413,4222826,2111413,)","(9.400985024928585e-06,4.700492512464293e-06,9.400985024928585e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (0,2,3,), )",-1,58452624,55662784,58462874,55661290,63719051,1.7094535196388911,1.8634707656580138,1.9568686323702387,1.8631440527538896,1.9569211565164948,5.409005894058116,15.610157432140957,"(5.873596340164368,5.2541424120226985,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (3,), (1,2,0,), )",-1,55613527,55657346,55614159,55660370,63719051,1.7094535196388911,1.9586018344062228,1.957059828185124,1.9585795768304255,1.9569535021057172,5.045688450704905,15.610157432140957,"(2.5753971984127237,5.869118868135631,)","(2111413,6334239,)","(1.2118457258697003e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,0,2,), (3,), )",-1,55608596,55657473,55611075,55661290,63719051,1.7094535196388911,1.958775510174722,1.9570553625386478,1.9586881929543711,1.9569211565164948,5.045688450704905,15.610157432140957,"(5.869118868135631,2.5753971984127237,)","(6334239,2111413,)","(3.1336616749761947e-06,1.2118457258697003e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,0,), (3,2,), )",-1,55435614,55661338,55453139,55665923,63719051,1.7094535196388911,1.9648876983666133,1.9569194689498841,1.9642667297878305,1.9567582845972031,5.313151198353756,15.610157432140957,"(5.87365811879215,4.752644277915361,)","(4222826,4222826,)","(4.700492512464293e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,1,3,), (2,), )",-1,58545990,55662883,58597869,55666629,63719051,1.7094535196388911,1.8604990025789983,1.9568651519541307,1.858851829577625,1.9567334677298314,5.406230840376331,15.610157432140957,"(5.258848569199207,5.848377653907704,)","(6334239,2111413,)","(3.1336616749761947e-06,9.400985024928585e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (2,1,0,), (3,), )",-1,55608307,55658630,55610802,55661973,63719051,1.7094535196388911,1.9587856900588612,1.9570146803828985,1.9586978083862197,1.9568971441238707,5.045688450704905,15.610157432140957,"(5.869118868135631,2.5753971984127237,)","(6334239,2111413,)","(3.1336616749761947e-06,1.2118457258697003e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,), (2,), (1,3,), )",-1,56157009,55662219,56173424,55662568,63719051,1.7094535196388911,1.9396466788322007,1.9568884955880037,1.9390798752093161,1.9568762260483563,5.312458643680215,15.610157432140957,"(5.873713650548174,5.848377653907704,4.7638716351324915,)","(2111413,2111413,4222826,)","(9.400985024928585e-06,9.400985024928585e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (0,3,2,), )",-1,58246521,55663942,58256684,55665923,63719051,1.7094535196388911,1.8700645829130293,1.956827922823001,1.8697383462471018,1.9567582845972031,5.409005894058116,15.610157432140957,"(5.873596340164368,5.2541424120226985,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (3,0,1,), (2,), )",-1,58551660,55662676,58603394,55661938,63719051,1.7094535196388911,1.8603188363916583,1.9568724292019306,1.858676581086754,1.956898374612828,5.406230840376331,15.610157432140957,"(5.258848569199207,5.848377653907704,)","(6334239,2111413,)","(3.1336616749761947e-06,9.400985024928585e-06,)"
