dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-based fastlz compressed size (B),standard fastlz compressed size (B),standard fastlz compression ratio,decomposed fastlz compression ratio,decomposed row-ordered fastlz compression ratio,reordered fastlz compression ratio,reordered row-based fastlz compression ratio,WE,entropy word,entropy list,max rep,unique ratio
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (0,3,), (2,), )",-1,67781786,60398301,67781528,60399864,67706968,1.608767298514977,1.606991530143511,1.8034407292350823,1.606997646910527,1.8033940606223882,5.312469974511832,15.610157432140957,"(5.873596340164368,4.763952951987628,5.848377653907704,)","(2111413,4222826,2111413,)","(9.400985024928585e-06,4.700492512464293e-06,9.400985024928585e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (0,2,3,), )",-1,67745109,60399682,67745437,60399639,67706968,1.608767298514977,1.6078615505659604,1.803399494719194,1.6078537658558465,1.8034007786039914,5.409005894058116,15.610157432140957,"(5.873596340164368,5.2541424120226985,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (3,), (1,2,0,), )",-1,60326024,60398723,60326135,60399364,67706968,1.608767298514977,1.8056014432510918,1.8034281287702059,1.8055981209470822,1.8034089895383667,5.045688450704905,15.610157432140957,"(2.5753971984127237,5.869118868135631,)","(2111413,6334239,)","(1.2118457258697003e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,0,2,), (3,), )",-1,60326191,60399163,60326667,60399639,67706968,1.608767298514977,1.8055964448343838,1.8034149910322432,1.8055821980020876,1.8034007786039914,5.045688450704905,15.610157432140957,"(5.869118868135631,2.5753971984127237,)","(6334239,2111413,)","(3.1336616749761947e-06,1.2118457258697003e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,0,), (3,2,), )",-1,67738587,60399080,67738444,60399864,67706968,1.608767298514977,1.6080163585343166,1.8034174692727107,1.6080197531552394,1.8033940606223882,5.313151198353756,15.610157432140957,"(5.87365811879215,4.752644277915361,)","(4222826,4222826,)","(4.700492512464293e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,1,3,), (2,), )",-1,67746058,60399879,67745971,60399792,67706968,1.608767298514977,1.6078390273276122,1.8033936127587276,1.6078410921293016,1.8033962103710557,5.406230840376331,15.610157432140957,"(5.258848569199207,5.848377653907704,)","(6334239,2111413,)","(3.1336616749761947e-06,9.400985024928585e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (2,1,0,), (3,), )",-1,60325317,60398920,60325793,60399396,67706968,1.608767298514977,1.805622604519426,1.8034222466229528,1.805608357274309,1.803408034080341,5.045688450704905,15.610157432140957,"(5.869118868135631,2.5753971984127237,)","(6334239,2111413,)","(3.1336616749761947e-06,1.2118457258697003e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,), (2,), (1,3,), )",-1,67782053,60398301,67781935,60399394,67706968,1.608767298514977,1.6069852000499307,1.8034407292350823,1.6069879976132284,1.8034080937964378,5.312458643680215,15.610157432140957,"(5.873713650548174,5.848377653907704,4.7638716351324915,)","(2111413,2111413,4222826,)","(9.400985024928585e-06,9.400985024928585e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (0,3,2,), )",-1,67746061,60398279,67746148,60399864,67706968,1.608767298514977,1.6078389561276485,1.8034413861361844,1.6078368913314451,1.8033940606223882,5.409005894058116,15.610157432140957,"(5.873596340164368,5.2541424120226985,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (3,0,1,), (2,), )",-1,67746409,60399187,67746322,60399100,67706968,1.608767298514977,1.6078306969746543,1.8034142744338595,1.6078327617549482,1.8034168721057102,5.406230840376331,15.610157432140957,"(5.258848569199207,5.848377653907704,)","(6334239,2111413,)","(3.1336616749761947e-06,9.400985024928585e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,), (1,2,), (3,), )",-1,60363567,60398916,60363965,60399567,67706968,1.608767298514977,1.8044784530377405,1.8034223660570332,1.8044665555021113,1.8034029283686752,5.044946965540298,15.610157432140957,"(5.873713650548174,5.865338506600147,2.5753971984127237,)","(2111413,4222826,2111413,)","(9.400985024928585e-06,4.700492512464293e-06,1.2118457258697003e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (2,), (1,0,3,), )",-1,67745394,60399951,67745505,60399396,67706968,1.608767298514977,1.607854786408062,1.803391463016253,1.6078521519619642,1.803408034080341,5.406230840376331,15.610157432140957,"(5.848377653907704,5.258848569199207,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (2,3,0,), )",-1,67745848,60398108,67746228,60399955,67706968,1.608767298514977,1.6078440113407393,1.8034464920656124,1.60783499267295,1.8033913435862658,5.409005894058117,15.610157432140957,"(5.873596340164368,5.254142412022699,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
