dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep,unique ratio
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,), (0,3,), (2,), )",-1,12848426,11956560,12847055,11955103,13543786,1.7731606214097004,1.8691245137731267,2.0085466053781356,1.8693239812548479,2.0087913922615304,5.201966849448555,15.041785662586301,"(6.125370905632568,4.3502115966121835,5.982073298937283,)","(24065,48130,24065,)","(4.263946979151798e-05,2.131973489575899e-05,4.263946979151798e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,), (0,2,3,), )",-1,13301684,11966923,13301575,11967417,13543786,1.7731606214097004,1.8054336578736947,2.006807263654993,1.8054484525328767,2.006724425162088,5.33175880707261,15.041785662586301,"(6.125370905632568,5.067221440885957,)","(24065,72195,)","(4.263946979151798e-05,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (3,), (1,2,0,), )",-1,12049003,11957663,12049635,11960337,13543786,1.7731606214097004,1.993136527561658,2.0083613328122727,1.9930319881058638,2.007912318858574,4.916219781539689,15.041785662586301,"(1.3269079038166607,6.112657074114032,)","(24065,72195,)","(2.1652855753505223e-06,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,0,2,), (3,), )",-1,12048133,11959794,12047936,11967417,13543786,1.7731606214097004,1.9932804526643257,2.0080034823342277,1.9933130454876253,2.006724425162088,4.91621978153969,15.041785662586301,"(6.112657074114033,1.3269079038166607,)","(72195,24065,)","(1.4213156597172659e-05,2.1652855753505223e-06,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,0,), (3,2,), )",-1,12463951,11957449,12464085,11955103,13543786,1.7731606214097004,1.9267813231935844,2.0083972760410687,1.9267606085805737,2.0087913922615304,5.196561403134006,15.041785662586301,"(6.1252633873909055,4.267859418877107,)","(48130,48130,)","(2.131973489575899e-05,2.131973489575899e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,1,3,), (2,), )",-1,13312721,11956836,13311078,11955184,13543786,1.7731606214097004,1.8039368510765004,2.008500242037275,1.804159512850875,2.0087777820901795,5.316200477978155,15.041785662586301,"(5.0942428709917795,5.982073298937283,)","(72195,24065,)","(1.4213156597172659e-05,4.263946979151798e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (2,1,0,), (3,), )",-1,12048046,11956955,12047850,11968003,13543786,1.7731606214097004,1.993294846317818,2.0084802527064793,1.9933272741609498,2.006626168125125,4.91621978153969,15.041785662586301,"(6.112657074114033,1.3269079038166607,)","(72195,24065,)","(1.4213156597172659e-05,2.1652855753505223e-06,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,), (2,), (1,3,), )",-1,12848282,11956561,12849255,11968514,13543786,1.7731606214097004,1.8691454624050126,2.008546437391153,1.869003922795524,2.006540494500821,5.201897326386634,15.041785662586301,"(6.125027367932911,5.982073298937283,4.35024431933817,)","(24065,24065,48130,)","(4.263946979151798e-05,4.263946979151798e-05,2.131973489575899e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,), (0,3,2,), )",-1,13302704,11959384,13302526,11955103,13543786,1.7731606214097004,1.805295224189007,2.0080723221196006,1.805319380695065,2.0087913922615304,5.33175880707261,15.041785662586301,"(6.125370905632568,5.067221440885958,)","(24065,72195,)","(4.263946979151798e-05,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (3,0,1,), (2,), )",-1,13312802,11956857,13311156,11955325,13543786,1.7731606214097004,1.8039258752590177,2.008496714479399,1.8041489409334546,2.008754090750356,5.316200477978155,15.041785662586301,"(5.094242870991779,5.982073298937283,)","(72195,24065,)","(1.4213156597172659e-05,4.263946979151798e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,), (1,2,), (3,), )",-1,12060188,11957220,12071348,11967470,13543786,1.7731606214097004,1.991288029672506,2.008435740080052,1.9894470774929196,2.0067155380376973,4.910140498203099,15.041785662586301,"(6.125027367932911,6.094313360531412,1.3269079038166607,)","(24065,48130,24065,)","(4.263946979151798e-05,2.131973489575899e-05,2.1652855753505223e-06,)"
