dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep,unique ratio
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (0,3,), (2,), )",-1,129345948,118299445,129362502,118309164,139264360,1.240830575748167,1.33597904435321,1.4607293888825936,1.3358080844787619,1.4606093911710847,6.097503764857313,17.407346762848366,"(7.26720306709632,4.6778747143579205,7.767062563617094,)","(19,15,12,)","(5.9258067239341876e-06,1.3425655858913394e-06,5.9258067239341876e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (0,2,3,), )",-1,140659761,118309861,140659609,118315348,139264360,1.240830575748167,1.22852104092513,1.460600786269202,1.2285223684931472,1.460533049355524,6.5685554004546685,17.407346762848366,"(7.26720306709632,6.335672844907451,)","(19,22,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,), (1,2,0,), )",-1,126347815,118307589,126346802,118308482,139264360,1.240830575748167,1.3676807628212644,1.4606288359067143,1.3676917283589023,1.4606178109867052,6.100469639298032,17.407346762848366,"(3.0430699867830926,7.119602856803012,)","(12,23,)","(5.78692062884198e-07,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,0,2,), (3,), )",-1,125587205,118312633,125586484,118315348,139264360,1.240830575748167,1.3759640243606026,1.4605665651951132,1.375971923857666,1.460533049355524,6.100469639298031,17.407346762848366,"(7.119602856803011,3.0430699867830926,)","(23,12,)","(1.9752689079780625e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,0,), (3,2,), )",-1,133888360,118307401,133891689,118309164,139264360,1.240830575748167,1.2906534668136946,1.4606311569637136,1.2906213768055461,1.4606093911710847,6.346029256888285,17.407346762848366,"(6.468525325117747,6.223533188658822,)","(38,15,)","(2.9629033619670938e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,1,3,), (2,), )",-1,130022110,118309509,130024621,118310373,139264360,1.240830575748167,1.3290314701091992,1.460605131917165,1.3290058042161108,1.4605944653728713,6.515434113720151,17.407346762848366,"(6.098224630421169,7.767062563617094,)","(23,12,)","(1.9752689079780625e-06,5.9258067239341876e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,1,0,), (3,), )",-1,125118599,118308054,125117826,118307919,139264360,1.240830575748167,1.3811174148457337,1.4606230950261425,1.3811259476327538,1.4606247617287562,6.100469639298033,17.407346762848366,"(7.119602856803013,3.0430699867830926,)","(23,12,)","(1.9752689079780625e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (2,), (1,3,), )",-1,130632963,118299251,130649504,118313803,139264360,1.240830575748167,1.3228167839996097,1.4607317843457859,1.3226493075702759,1.460552121716517,6.067517880513595,17.407346762848366,"(4.533815154174166,7.767062563617094,5.98459690213156,)","(28,12,15,)","(2.314768251536792e-06,5.9258067239341876e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (0,3,2,), )",-1,140637888,118299576,140643614,118309164,139264360,1.240830575748167,1.228712109214837,1.4607277713319953,1.2286620848636611,1.4606093911710847,6.5685554004546685,17.407346762848366,"(7.26720306709632,6.335672844907451,)","(19,23,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,0,1,), (2,), )",-1,129846299,118305156,129848870,118306376,139264360,1.240830575748167,1.3308309696220144,1.460658874411188,1.3308046192469754,1.4606438117925276,6.515434113720151,17.407346762848366,"(6.098224630421169,7.767062563617094,)","(23,12,)","(1.9752689079780625e-06,5.9258067239341876e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (1,2,), (3,), )",-1,119428786,118299831,119437083,118312662,139264360,1.240830575748167,1.4469164578127756,1.4607246226750739,1.4468159440899941,1.4605662071909091,5.703624848170548,17.407346762848366,"(4.533815154174166,7.618807125862466,3.0430699867830926,)","(28,15,12,)","(2.314768251536792e-06,2.9629033619670938e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,), (1,0,3,), )",-1,130140709,118308316,130141726,118307919,139264360,1.240830575748167,1.327820305635495,1.4606198603993314,1.3278099293073768,1.4606247617287562,6.515434113720151,17.407346762848366,"(7.767062563617094,6.098224630421169,)","(12,23,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (2,3,0,), )",-1,140696569,118300745,140700585,118302099,139264360,1.240830575748167,1.2281996442997838,1.4607133370123746,1.2281645879439662,1.4606966187472294,6.5685554004546685,17.407346762848366,"(7.26720306709632,6.335672844907451,)","(19,22,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,1,), (3,0,), )",-1,130611818,118302962,130616885,118302611,139264360,1.240830575748167,1.3230309373689293,1.4606859632136684,1.3229796132406617,1.4606902970214242,6.1483409201101935,17.407346762848366,"(7.618807125862466,4.6778747143579205,)","(15,15,)","(2.9629033619670938e-06,1.3425655858913394e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,3,0,1,), )",-1,141372555,118307784,141372555,118307784,139264360,1.240830575748167,1.2223268936463658,1.4606264284351738,1.2223268936463658,1.4606264284351738,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(30,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (1,2,3,), )",-1,134638385,118300305,134650058,118312662,139264360,1.240830575748167,1.283463671968436,1.4607187699135686,1.2833524067252908,1.4605662071909091,6.2589104958688,17.407346762848366,"(4.533815154174166,6.833942276433679,)","(28,22,)","(2.314768251536792e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,1,2,0,), )",-1,138377680,118308482,138377680,118308482,139264360,1.240830575748167,1.248781421974989,1.4606178109867052,1.248781421974989,1.4606178109867052,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(30,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,3,), (2,0,), )",-1,137759783,118309514,137763540,118306866,139264360,1.240830575748167,1.2543826088924661,1.4606050701890299,1.2543484001645138,1.4606377621396884,6.411776197448152,17.407346762848366,"(5.98459690213156,6.838955492764744,)","(15,17,)","(2.9629033619670938e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,0,1,2,), )",-1,138761029,118306376,138761029,118306376,139264360,1.240830575748167,1.2453314683908838,1.4606438117925276,1.2453314683908838,1.4606438117925276,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(29,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,2,), (3,0,), )",-1,130605830,118301793,130610867,118302099,139264360,1.240830575748167,1.323091595528316,1.4607003969922925,1.3230405705828443,1.4606966187472294,6.1483409201101935,17.407346762848366,"(7.618807125862466,4.6778747143579205,)","(15,15,)","(2.9629033619670938e-06,1.3425655858913394e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (1,), (2,), (3,), )",-1,118298175,118298175,118312662,118312662,139264360,1.240830575748167,1.460745070665714,1.460745070665714,1.4605662071909091,1.4605662071909091,5.652787692917667,17.407346762848366,"(4.533815154174166,7.26720306709632,7.767062563617094,3.0430699867830926,)","(28,19,12,12,)","(2.314768251536792e-06,5.9258067239341876e-06,5.9258067239341876e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (3,), (2,1,), )",-1,119434774,118301000,119437229,118301229,139264360,1.240830575748167,1.4468439149891137,1.4607101884176803,1.4468141755030168,1.4607073608677388,5.703624848170548,17.407346762848366,"(4.533815154174166,3.0430699867830926,7.618807125862466,)","(28,12,15,)","(2.314768251536792e-06,5.78692062884198e-07,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (3,0,2,), )",-1,140659702,118306092,140657286,118308843,139264360,1.240830575748167,1.2285215562307958,1.4606473181448678,1.228542657932416,1.4606133541513884,6.5685554004546685,17.407346762848366,"(7.26720306709632,6.335672844907451,)","(19,23,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,2,1,), (3,), )",-1,126290163,118310224,126289335,118313803,139264360,1.240830575748167,1.368305114943909,1.4605963048468238,1.36831408606277,1.460552121716517,6.100469639298032,17.407346762848366,"(7.119602856803012,3.0430699867830926,)","(23,12,)","(1.9752689079780625e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,1,0,3,), )",-1,138604789,118307919,138604789,118307919,139264360,1.240830575748167,1.2467352480872793,1.4606247617287562,1.2467352480872793,1.4606247617287562,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(29,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,2,3,1,), )",-1,142682715,118310980,142682715,118310980,139264360,1.240830575748167,1.2111030828085938,1.460586971724856,1.2111030828085938,1.460586971724856,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(29,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,2,0,3,), )",-1,139501718,118307454,139501718,118307454,139264360,1.240830575748167,1.238719339642828,1.4606305026224298,1.238719339642828,1.4606305026224298,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(29,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,1,2,3,), )",-1,139264360,118312662,139264360,118312662,139264360,1.240830575748167,1.240830575748167,1.4605662071909091,1.240830575748167,1.4605662071909091,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(30,)","(1.4814516809835469e-06,)"
