dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep,unique ratio
tpcds_web_f32,86354816,4,21588704,"( (1,), (0,3,), (2,), )",-1,64658388,59102199,64670827,59110134,69720919,1.2385782809317243,1.335554731120114,1.4611100341630268,1.3352978461215597,1.4609138933774029,6.097067393254895,17.32971012097464,"(7.281448534546758,4.669183363062301,7.768454312348222,)","(15,15,11,)","(1.1858053174474947e-05,2.617109392022791e-06,1.1858053174474947e-05,)"
tpcds_web_f32,86354816,4,21588704,"( (1,), (0,2,3,), )",-1,70378485,59115364,70378980,59119735,69720919,1.2385782809317243,1.227005895338611,1.4607846447498827,1.2269972653766792,1.4606766420722286,6.569284839713937,17.32971012097464,"(7.281448534546758,6.33189694143633,)","(15,22,)","(1.1858053174474947e-05,3.952684391491649e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (3,), (1,2,0,), )",-1,63186476,59114599,63186067,59110074,69720919,1.2385782809317243,1.366666120136214,1.4608035487139142,1.3666749664922173,1.4609153762859441,6.10062400335439,17.32971012097464,"(3.018793951253024,7.127900687388179,)","(12,23,)","(1.1580130053198191e-06,3.952684391491649e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (1,0,2,), (3,), )",-1,62807674,59118767,62807506,59119735,69720919,1.2385782809317243,1.3749086775606434,1.4607005589274216,1.3749123552207279,1.4606766420722286,6.10062400335439,17.32971012097464,"(7.127900687388179,3.018793951253024,)","(23,12,)","(3.952684391491649e-06,1.1580130053198191e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (1,0,), (3,2,), )",-1,66989246,59110179,66994149,59110134,69720919,1.2385782809317243,1.2890847584700387,1.4609127811979727,1.2889904161630592,1.4609138933774029,6.347622439153166,17.32971012097464,"(6.4808099200075375,6.214434958298794,)","(30,15,)","(5.929026587237474e-06,5.929026587237474e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (0,1,3,), (2,), )",-1,65017430,59113242,65018920,59113456,69720919,1.2385782809317243,1.3281794743348052,1.4608370828316268,1.3281490372340852,1.4608317943718263,6.517033059474592,17.32971012097464,"(6.099892641850048,7.768454312348222,)","(23,11,)","(3.952684391491649e-06,1.1858053174474947e-05,)"
tpcds_web_f32,86354816,4,21588704,"( (2,1,0,), (3,), )",-1,62567132,59111763,62567372,59112047,69720919,1.2385782809317243,1.3801945724473994,1.460873633560887,1.380189278207178,1.460866614888163,6.1006240033543895,17.32971012097464,"(7.127900687388178,3.018793951253024,)","(23,12,)","(3.952684391491649e-06,1.1580130053198191e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (0,), (2,), (1,3,), )",-1,65298911,59103015,65313139,59113367,69720919,1.2385782809317243,1.322454152413047,1.4610898614901457,1.3221660652384202,1.460833993773354,6.068131912926276,17.32971012097464,"(4.539479244946322,7.768454312348222,5.9822970472052805,)","(20,11,15,)","(4.493090460640898e-06,1.1858053174474947e-05,5.929026587237474e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (1,), (0,3,2,), )",-1,70371671,59102834,70376092,59110134,69720919,1.2385782809317243,1.2271247047693383,1.4610943360177957,1.2270476172504718,1.4609138933774029,6.569284839713936,17.32971012097464,"(7.281448534546758,6.331896941436329,)","(15,22,)","(1.1858053174474947e-05,3.952684391491649e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (3,0,1,), (2,), )",-1,64933915,59111091,64935412,59111905,69720919,1.2385782809317243,1.329887717381587,1.4608902413931084,1.3298570585799934,1.4608701242160949,6.517033059474592,17.32971012097464,"(6.099892641850048,7.768454312348222,)","(23,11,)","(3.952684391491649e-06,1.1858053174474947e-05,)"
