dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-based fastlz compressed size (B),standard fastlz compressed size (B),standard fastlz compression ratio,decomposed fastlz compression ratio,decomposed row-ordered fastlz compression ratio,reordered fastlz compression ratio,reordered row-based fastlz compression ratio,WE,entropy word,entropy list,max rep,unique ratio
acs_wht_f32,224999996,4,56249999,"( (1,), (0,3,), (2,), )",-1,193340292,155525844,193336617,155526130,193331812,1.1638022406783215,1.1637511957414444,1.4467048704779895,1.1637733166707886,1.4467022101045015,6.057199816536112,20.13301168165521,"(7.412636992582531,5.136499047872188,6.543164177817545,)","(412752,825504,412752,)","(4.551111192019755e-06,2.2755555960098774e-06,4.551111192019755e-06,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,2,3,), )",-1,193379838,155526611,193379616,155525311,193331812,1.1638022406783215,1.163513209686317,1.446697735862064,1.16351454540069,1.4467098284728714,6.314329084728758,20.13301168165521,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)","(4.551111192019755e-06,1.5170370640065849e-06,)"
acs_wht_f32,224999996,4,56249999,"( (3,), (1,2,0,), )",-1,155426178,155525979,155427247,155525550,193331812,1.1638022406783215,1.4476325603271285,1.446703614706068,1.4476226037768012,1.4467076052777181,5.787823352476486,20.13301168165521,"(1.2209671386643668,7.310108757080525,)","(412752,1238256,)","(3.022222275950618e-07,1.5170370640065849e-06,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,2,), (3,), )",-1,155426099,155525715,155425695,155525311,193331812,1.1638022406783215,1.447633296130015,1.4467060704398627,1.4476370589817855,1.4467098284728714,5.787823352476486,20.13301168165521,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)","(1.5170370640065849e-06,3.022222275950618e-07,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,), (3,2,), )",-1,181483958,155525997,181481852,155526130,193331812,1.1638022406783215,1.239778978150785,1.4467034472699762,1.2397933651239132,1.4467022101045015,6.056327652296524,20.13301168165521,"(7.4126226209859425,4.7000326836071045,)","(825504,825504,)","(2.2755555960098774e-06,2.2755555960098774e-06,)"
acs_wht_f32,224999996,4,56249999,"( (0,1,3,), (2,), )",-1,193381039,155526269,193381170,155526400,193331812,1.1638022406783215,1.1635059836450667,1.4467009171293115,1.1635051954644808,1.4466996985720753,6.207329322916049,20.13301168165521,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)","(1.5170370640065849e-06,4.551111192019755e-06,)"
acs_wht_f32,224999996,4,56249999,"( (2,1,0,), (3,), )",-1,155426768,155525637,155426364,155525233,193331812,1.1638022406783215,1.4476270651140348,1.4467067959991702,1.447630827933413,1.4467105540359486,5.787823352476486,20.13301168165521,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)","(1.5170370640065849e-06,3.022222275950618e-07,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (2,), (1,3,), )",-1,193341719,155525844,193343428,155525778,193331812,1.1638022406783215,1.1637426064262932,1.4467048704779895,1.1637323198800427,1.4467054844117224,6.057232041763019,20.13301168165521,"(7.412603678883616,6.543164177817545,5.136580155175457,)","(412752,412752,825504,)","(4.551111192019755e-06,4.551111192019755e-06,2.2755555960098774e-06,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,3,2,), )",-1,193383215,155525982,193383410,155526130,193331812,1.1638022406783215,1.1634928915624865,1.44670358680005,1.1634917183433677,1.4467022101045015,6.314329084728758,20.13301168165521,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)","(4.551111192019755e-06,1.5170370640065849e-06,)"
acs_wht_f32,224999996,4,56249999,"( (3,0,1,), (2,), )",-1,193379601,155525570,193379732,155525701,193331812,1.1638022406783215,1.1635146356517718,1.4467074192365925,1.163513847459464,1.4467062006684026,6.207329322916049,20.13301168165521,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)","(1.5170370640065849e-06,4.551111192019755e-06,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (1,2,), (3,), )",-1,155482246,155526189,155481860,155525581,193331812,1.1638022406783215,1.447110533764736,1.446701661287412,1.4471141263681822,1.4467073169139937,5.754777074920771,20.13301168165521,"(7.412603678883616,7.1927687410675505,1.2209671386643668,)","(412752,825504,412752,)","(4.551111192019755e-06,2.2755555960098774e-06,3.022222275950618e-07,)"
acs_wht_f32,224999996,4,56249999,"( (2,), (1,0,3,), )",-1,193379602,155525999,193379609,155525233,193331812,1.1638022406783215,1.1635146296350325,1.4467034286659686,1.1635145875178599,1.4467105540359486,6.207329322916049,20.13301168165521,"(6.543164177817545,6.095384371282217,)","(412752,1238256,)","(4.551111192019755e-06,1.5170370640065849e-06,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (2,3,0,), )",-1,193380359,155525634,193380096,155526176,193331812,1.1638022406783215,1.1635100749812963,1.446706823905312,1.1635116573734663,1.4467017822131756,6.314329084728758,20.13301168165521,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)","(4.551111192019755e-06,1.5170370640065849e-06,)"
acs_wht_f32,224999996,4,56249999,"( (2,1,), (3,0,), )",-1,193269182,155525655,193270346,155525834,193331812,1.1638022406783215,1.1641793775481495,1.4467066285623424,1.164172366101109,1.4467049634982185,6.164633894469869,20.13301168165521,"(7.192768741067551,5.136499047872188,)","(825504,825504,)","(2.2755555960098774e-06,2.2755555960098774e-06,)"
acs_wht_f32,224999996,4,56249999,"( (2,3,0,1,), )",-1,193331486,155525626,193331486,155525626,193331812,1.1638022406783215,1.1638042031084372,1.4467068983216953,1.1638042031084372,1.4467068983216953,6.44260136953034,20.13301168165521,"(6.44260136953034,)","(1651008,)","(1.1377777980049387e-06,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (1,2,3,), )",-1,193379762,155526611,193379375,155525581,193331812,1.1638022406783215,1.163513666957559,1.446697735862064,1.1635159954364316,1.4467073169139937,6.314228550387967,20.13301168165521,"(7.412603678883616,5.948103507556084,)","(412752,1238256,)","(4.551111192019755e-06,1.5170370640065849e-06,)"
acs_wht_f32,224999996,4,56249999,"( (3,1,2,0,), )",-1,193331892,155525550,193331892,155525550,193331812,1.1638022406783215,1.1638017591013903,1.4467076052777181,1.1638017591013903,1.4467076052777181,6.44260136953034,20.13301168165521,"(6.44260136953034,)","(1651008,)","(1.1377777980049387e-06,)"
acs_wht_f32,224999996,4,56249999,"( (1,3,), (2,0,), )",-1,193297312,155525652,193296698,155525547,193331812,1.1638022406783215,1.1640099578829115,1.4467066564684776,1.164013655318623,1.446707633183891,6.164793098557144,20.13301168165521,"(5.136580155175457,7.193006041938832,)","(825504,825504,)","(2.2755555960098774e-06,2.2755555960098774e-06,)"
